#
# Circular speeds of disk models
#
#  Column 1: distance from center [units = disk scale length R_d]
#  Column 2: circular velocity - point disk [units = (GM_d/R_d)^1/2]
#  Column 3: circular velocity - spherical disk [units = (GM_d/R_d)^1/2]
#  Column 4: circular velocity - exponential disk [units = (GM_d/R_d)^1/2]
#
  R/Rd          vc_point     vc_sphere    vc_exp
  5.61622906  0.421966136  0.416856408  0.458414525
  5.63226128  0.421365142  0.416332096  0.457658201
  5.6482935  0.420766711  0.415809184  0.456904441
  5.66432571  0.420170814  0.415287673  0.456152588
  5.68035793  0.41957745  0.414767623  0.455403417
  5.69639015  0.418986619  0.414248973  0.454656482
  5.71242237  0.418398261  0.413731724  0.453912944
  5.72845459  0.417812347  0.413215876  0.45317018
  5.74448681  0.417228878  0.412701398  0.45243153
  5.76051903  0.416647911  0.412188381  0.451694399
  5.77655125  0.416069299  0.411676735  0.450959533
  5.79258347  0.415493131  0.411166519  0.450227052
  5.80861568  0.414919347  0.410657674  0.449497044
  5.8246479  0.414347917  0.41015026  0.448769867
  5.84068012  0.413778841  0.409644186  0.448045433
  5.85671234  0.41321215  0.409139603  0.447321862
  5.87274456  0.412647724  0.408636332  0.446602881
  5.88877678  0.412085623  0.40813446  0.44588536
  5.904809  0.411525816  0.40763402  0.44516933
  5.92084122  0.410968274  0.40713492  0.444455802
  5.93687344  0.410412997  0.406637222  0.443745852
  5.95290565  0.409859955  0.406140894  0.443038493
  5.96893787  0.409309179  0.405645996  0.442332745
  5.98497009  0.408760577  0.40515241  0.441629827
  6.00100231  0.408214182  0.404660225  0.440928847
  6.01703453  0.407669991  0.40416941  0.440230787
  6.03306675  0.407127976  0.403680027  0.439534545
  6.04909897  0.406588107  0.403191984  0.438841701
  6.06513119  0.406050354  0.402705252  0.43814984
  6.08116341  0.405514747  0.402219921  0.437460691
  6.09719563  0.404981285  0.401735961  0.43677482
  6.11322784  0.40444985  0.401253313  0.436090499
  6.12926006  0.403920591  0.400772095  0.435409248
  6.14529228  0.403393328  0.400292158  0.434729308
  6.1613245  0.402868181  0.399813622  0.434052408
  6.17735672  0.402345061  0.399336427  0.433378726
  6.19338894  0.401823968  0.398860574  0.432706505
  6.20942116  0.401304871  0.398386031  0.432037085
  6.22545338  0.400787801  0.39791286  0.431369931
  6.2414856  0.400272757  0.39744103  0.430704296
  6.25751781  0.39975962  0.396970481  0.430042058
  6.27355003  0.399248511  0.396501333  0.429382175
  6.28958225  0.398739338  0.396033466  0.428723723
  6.30561447  0.398232132  0.39556694  0.428067803
  6.32164669  0.397726834  0.395101756  0.427414775
  6.33767891  0.397223473  0.394637883  0.426762968
  6.35371113  0.396721989  0.394175291  0.426115394
  6.36974335  0.396222413  0.393714041  0.425469339
  6.38577557  0.395724714  0.393254071  0.424825191
  6.40180779  0.395228863  0.392795414  0.424182743
  6.41784  0.394734919  0.392338067  0.423543662
  6.43387222  0.394242823  0.391882062  0.422906965
  6.44990444  0.393752545  0.391427279  0.422271401
  6.46593666  0.393264055  0.390973777  0.421638787
  6.48196888  0.392777413  0.390521646  0.421008945
  6.4980011  0.392292589  0.390070766  0.420381606
  6.51403332  0.391809553  0.389621168  0.41975531
  6.53006554  0.391328305  0.389172852  0.419132531
  6.54609776  0.390848756  0.388725787  0.418510646
