JDTDB,dateTDB,X,Y,Z,Xearth,Yearth,Zearth
2435139.5,1955-Feb-01,9.024167004610105E-01,6.140192676733337E-01,-1.594243531312185E-02,-6.590351918939277E-01,7.324798503060798E-01,6.727825567229799E-05
2435149.5,1955-Feb-11,8.063017289361583E-01,7.385998086308221E-01,-1.468943961088020E-02,-7.789180305257928E-01,6.060773997099907E-01,5.331320742291232E-05
2435159.5,1955-Feb-21,6.919667702295782E-01,8.464921483218977E-01,-1.310451832685687E-02,-8.748909100122176E-01,4.610647386952223E-01,3.770973714282919E-05
2435169.5,1955-Mar-03,5.619913247027947E-01,9.352483123843865E-01,-1.122339231468769E-02,-9.441696653357315E-01,3.019782095424089E-01,2.095464085108169E-05
2435179.5,1955-Mar-13,4.192384068063994E-01,1.002730514704650E+00,-9.087065585147150E-03,-9.848419732658180E-01,1.337359086759509E-01,3.565164071100918E-06
2435189.5,1955-Mar-23,2.668453185026647E-01,1.047133142627932E+00,-6.741729551845812E-03,-9.959063513866790E-01,-3.853368449927706E-02,-1.392939641606837E-05
2435199.5,1955-Apr-02,1.082158973459266E-01,1.067014559338365E+00,-4.238712846404018E-03,-9.772766987346345E-01,-2.096613114975425E-01,-3.100467657949646E-05
2435209.5,1955-Apr-12,-5.298949906747889E-02,1.061340367718851E+00,-1.634421659023700E-03,-9.297556013546616E-01,-3.745978885604439E-01,-4.715737429033881E-05
2435219.5,1955-Apr-22,-2.128708622874283E-01,1.029539167763177E+00,1.009800310297995E-03,-8.549808613797982E-01,-5.285614842331829E-01,-6.192017045106814E-05
2435229.5,1955-May-02,-3.673178583469218E-01,9.715708506788862E-01,3.627981329801005E-03,-7.553503271464380E-01,-6.671666975711332E-01,-7.487640792759259E-05
2435239.5,1955-May-12,-5.120583067526542E-01,8.880059158204374E-01,6.150115212552698E-03,-6.339301593553895E-01,-7.865343808645311E-01,-8.567081455881702E-05
2435249.5,1955-May-22,-6.427334647506241E-01,7.801117965047712E-01,8.503175135824582E-03,-4.943513945421542E-01,-8.833810280028513E-01,-9.401045051187316E-05
2435259.5,1955-Jun-01,-7.550077965071860E-01,6.499386358812581E-01,1.061267591468026E-02,-3.406988761254696E-01,-9.550882472626575E-01,-9.967113005675421E-05
2435269.5,1955-Jun-11,-8.447197219203280E-01,5.003926951955511E-01,1.240492189519464E-02,-1.773958405710098E-01,-9.997532175312637E-01,-1.025053425684649E-04
2435279.5,1955-Jun-21,-9.080764210574669E-01,3.352805245147817E-01,1.381003436255461E-02,-9.086784709055702E-03,-1.016221430548679E+00,-1.024447216472222E-04
2435289.5,1955-Jul-01,-9.418889701215194E-01,1.593026613513739E-01,1.476574600967813E-02,1.594795478068118E-01,-1.004103116613767E+00,-9.949981143339655E-05
2435299.5,1955-Jul-11,-9.438338678226461E-01,-2.202599158777670E-02,1.522179116292970E-02,3.235658376317997E-01,-9.637745608758495E-01,-9.375799632017609E-05
2435309.5,1955-Jul-21,-9.127143528082712E-01,-2.025483103406893E-01,1.514450867825034E-02,4.785596746623663E-01,-8.963651996799186E-01,-8.538183686108229E-05
2435319.5,1955-Jul-31,-8.486828439372441E-01,-3.757376196073405E-01,1.452105405918862E-02,6.200842088285620E-01,-8.037310023904912E-01,-7.460812943190710E-05
2435329.5,1955-Aug-10,-7.533794011871001E-01,-5.350598994272169E-01,1.336247528433720E-02,7.441053038699300E-01,-6.884142006062466E-01,-6.174122988461775E-05
2435339.5,1955-Aug-20,-6.299456186872444E-01,-6.743913840111941E-01,1.170492070260004E-02,8.470342492114952E-01,-5.535891730205402E-01,-4.713920451786446E-05
2435349.5,1955-Aug-30,-4.828912127925410E-01,-7.884371875055952E-01,9.608472810696142E-03,9.258248779266115E-01,-4.029940744886094E-01,-3.120787300396278E-05
2435359.5,1955-Sep-09,-3.178193305634363E-01,-8.730879486831590E-01,7.153565284475517E-03,9.780633488206286E-01,-2.408475590408416E-01,-1.439457796409078E-05
