Name,H,a,e,i,Omega,peri,M,n,Epoch
(6545) Leitus,10.25,5.1618707,0.0528032,11.97947,278.02605,148.41867,33.07523,0.08404142,2023.150684931507
(6997) Laomedon,10.66,5.1789647,0.1019863,19.12112,195.28486,59.11165,61.12761,0.08362568,2023.150684931507
(6998) Tithonus,11.57,5.1774447,0.0713667,1.72997,35.24357,259.80462,14.8432,0.08366251,2023.150684931507
(7119) Hiera,9.82,5.1271947,0.1035801,19.34286,285.46871,123.74759,16.25302,0.08489544,2023.150684931507
(7152) Euneus,10.37,5.1551202,0.0648994,3.71233,113.04402,307.42361,18.50519,0.08420655,2023.150684931507
(7214) Anticlus,11.85,5.1961673,0.0357317,13.445,195.52273,216.99915,52.36983,0.08321074,2023.150684931507
(7352) Hypsenor,10.05,5.1260167,0.0372689,8.18379,130.33341,128.60772,47.79875,0.0849247,2023.150684931507
(7543) Prylis,10.67,5.2042073,0.064916,14.05806,195.55529,207.75767,50.42518,0.08301799,2023.150684931507
(7641) Cteatus,9.53,5.2149809,0.0545335,34.69408,242.06242,227.99085,321.8144,0.08276086,2023.150684931507
(7815) Dolon,10.34,5.2643298,0.0602855,20.36931,147.51481,219.19772,294.45816,0.08159986,2023.150684931507
(8060) Anius,11.05,5.2077096,0.0934396,7.0798,6.32873,34.01475,56.67033,0.08293425,2023.150684931507
(8125) Tyndareus,10.91,5.2008487,0.0486219,13.11062,323.12481,58.76875,81.93285,0.08309842,2023.150684931507
(8241) Agrius,11.38,5.1611515,0.042058,4.34175,22.65843,266.04964,169.74475,0.08405899,2023.150684931507
(8317) Eurysaces,11.25,5.3129032,0.0458191,0.94484,208.05501,116.77133,125.24371,0.08048338,2023.150684931507
(9023) Mnesthus,10.29,5.2138367,0.0653092,23.93248,159.9062,159.98666,339.36883,0.0827881,2023.150684931507
(9030) Othryoneus,11.29,5.3188953,0.0156466,4.22077,76.61744,8.16692,249.91657,0.08034741,2023.150684931507
(9142) Rhesus,10.76,5.1589651,0.130791,12.8082,141.19841,173.98725,349.7484,0.08411243,2023.150684931507
(9430) Erichthonios,11.47,5.2593434,0.0541331,1.00331,326.41319,312.02128,24.34314,0.08171594,2023.150684931507
(9431) Pytho,10.7,5.1163602,0.0863832,21.33527,201.48448,185.98359,48.59175,0.08516525,2023.150684931507
(9590) Hyria,12.11,5.1041401,0.0394169,6.65915,28.8524,190.89915,217.78534,0.08547128,2023.150684931507
(9694) Lycomedes,10.82,5.0783106,0.0373065,4.95077,349.96923,60.46412,14.55505,0.0861242,2023.150684931507
(9712) Nauplius,11.02,5.2249493,0.1282539,8.47049,176.58849,274.84095,343.85872,0.08252413,2023.150684931507
(9713) Oeax,11.38,5.1704022,0.0555703,4.15929,155.96715,314.06274,322.75352,0.0838335,2023.150684931507
(9790) Deipyrus,11.05,5.241483,0.0554713,5.91832,231.16425,153.09582,45.15016,0.08213397,2023.150684931507
(9799) Thronium,9.69,5.1915636,0.0483642,30.51411,259.56194,116.03001,58.76183,0.08332145,2023.150684931507
(9807) Rhene,11.49,5.2054543,0.1549143,4.97016,232.53441,197.63131,8.17026,0.08298816,2023.150684931507
(9817) Thersander,11.58,5.2484468,0.0430021,9.1752,24.2634,83.93182,312.50671,0.08197055,2023.150684931507
(9818) Eurymachos,11.13,5.193761,0.0053983,7.49578,18.54339,111.83885,292.6245,0.08326858,2023.150684931507
(9828) Antimachos,12.07,5.1901886,0.0858091,3.21288,97.10333,19.74549,331.30197,0.08335456,2023.150684931507
(9857) Hecamede,10.36,5.1643433,0.0254625,19.60581,289.40786,7.18242,157.95492,0.08398107,2023.150684931507
(9907) Oileus,11.65,5.2675988,0.0677627,8.15704,153.6816,265.42707,3.21403,0.08152392,2023.150684931507
